# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
glycine betaine biosynthesis II (Gram-positive bacteria)|PWY-3722|Betaine Biosynthesis|Betaine-Biosynthesis|0.21189249|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3722
dimethyl sulfide degradation II (oxidation)|PWY-6059|Dimethylsulfide Degradation|Dimethylsulfide-Degradation|0.22000001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6059
selenate reduction|PWY-6932|||0.22000001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6932
peptidoglycan maturation (meso-diaminopimelate containing)|PWY0-1586|Peptidoglycan Biosynthesis|Peptidoglycan-Biosynthesis|0.22000001|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1586
L-glutamine degradation I|GLUTAMINDEG-PWY|L-glutamine Degradation|GLUTAMINE-DEG|0.22405316|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINDEG-PWY
putrescine biosynthesis II|PWY-43|Putrescine Biosynthesis|Putrescine-Biosynthesis|0.22484045|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-43
pyruvate fermentation to butanoate|CENTFERM-PWY|Fermentation to Butanoate|Acetyl-CoA-Butyrate|0.22673175|1.1428572|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CENTFERM-PWY
glycine biosynthesis I|GLYSYN-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.22743236|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-PWY
acetate and ATP formation from acetyl-CoA I|PWY0-1312|||0.2279313|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1312
ubiquinol-8 biosynthesis (early decarboxylation)|PWY-6708|||0.23164235|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6708
UTP and CTP dephosphorylation I|PWY-7185|UTP and CTP Dephosphorylation|UTP-CTP-Dephosphorylation|0.23215725|0.71428573|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7185
geranyl diphosphate biosynthesis|PWY-5122|||0.23316875|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5122
acetate conversion to acetyl-CoA|PWY0-1313|||0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1313
acetate and ATP formation from acetyl-CoA III|PWY-8328|||0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8328
thiamine diphosphate biosynthesis II (Bacillus)|PWY-6893|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.24147141|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6893
L-aspartate biosynthesis|ASPARTATESYN-PWY|L-aspartate Biosynthesis|ASPARTATE-SYN|0.24414779|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATESYN-PWY
L-aspartate degradation I|ASPARTATE-DEG1-PWY|L-aspartate Degradation|ASPARTATE-DEG|0.24414779|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATE-DEG1-PWY
ethanol degradation II|PWY66-21|Ethanol Degradation|Ethanol-Degradation|0.24999857|1.6666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-21
NADP biosynthesis|PWY-8148|||0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8148
L-glutamate degradation I|GLUTAMATE-DEG1-PWY|L-glutamate Degradation|GLUTAMATE-DEG|0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-DEG1-PWY
arginine dependent acid resistance|PWY0-1299|||0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1299
L-lysine fermentation to acetate and butanoate|P163-PWY|Fermentation to Butanoate|Acetyl-CoA-Butyrate|0.2532732|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P163-PWY
glycerol-3-phosphate to fumarate electron transfer|PWY0-1582|||0.25784603|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1582
thiazole component of thiamine diphosphate biosynthesis I|PWY-6892|Thiazole Biosynthesis|Thiazole-Biosynthesis|0.26098737|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6892
L-malate degradation II|PWY-7686|(S)-Malate Degradation|L-Malate-Degradation|0.26278535|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7686
formate oxidation to CO2|PWY-1881|||0.26278535|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1881
adenine and adenosine salvage I|P121-PWY|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|0.26278535|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=P121-PWY
L-serine degradation|SERDEG-PWY|||0.26278535|0.33333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SERDEG-PWY
L-glutamate degradation II|GLUTDEG-PWY|L-glutamate Degradation|GLUTAMATE-DEG|0.26333556|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTDEG-PWY
[2Fe-2S] iron-sulfur cluster biosynthesis|PWY-7250|||0.264|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7250
inosine 5'-phosphate degradation|PWY-5695|||0.26676565|1.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5695
L-aspartate degradation III (anaerobic)|PWY-8294|L-aspartate Degradation|ASPARTATE-DEG|0.26695287|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8294
L-aspartate degradation II (aerobic)|PWY-8291|L-aspartate Degradation|ASPARTATE-DEG|0.26695287|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8291
glycine betaine biosynthesis IV (from glycine)|P541-PWY|Betaine Biosynthesis|Betaine-Biosynthesis|0.28209257|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P541-PWY
pyruvate fermentation to (S)-lactate|PWY-5481|Pyruvate Fermentation to Lactate|Pyruvate-Lactate-Fermentation|0.2825233|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5481
alanine racemization|PWY-8072|||0.2825233|5.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8072
NADH to cytochrome bd oxidase electron transfer II|PWY0-1568|||0.2825233|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1568
long-chain fatty acid activation|PWY-5143|||0.2825233|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5143
nitrate reduction IX (dissimilatory)|PWY0-1581|Nitrate Reduction|Nitrate-Reduction|0.2825233|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1581
1,4-dihydroxy-6-naphthoate biosynthesis II|PWY-7371|1,4-dihydroxy-6-naphthoate biosynthesis|14-Dihydroxy-6-Naphthoate-Biosynthesis|0.28599998|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7371
pyridoxal 5'-phosphate biosynthesis I|PYRIDOXSYN-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.28896934|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDOXSYN-PWY
flavin biosynthesis I (bacteria and plants)|RIBOSYN2-PWY|Flavin Biosynthesis|Flavin-Biosynthesis|0.29112598|0.7777778|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=RIBOSYN2-PWY
L-valine degradation I|VALDEG-PWY|L-valine Degradation|VALINE-DEG|0.29147273|0.625|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=VALDEG-PWY
glycogen degradation II|PWY-5941|Glycogen Degradation|Glycogen-Degradation|0.2923619|0.8333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5941
benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7970|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7970
sphingomyelin metabolism|PWY3DJ-11281|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11281
2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7965|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7965
taurine biosynthesis I|PWY-5331|Taurine Biosynthesis|Taurine-Biosynthesis|0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5331
inulin degradation|PWY-8314|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8314
5-(methoxycarbonylmethoxy)uridine biosynthesis|PWY0-1554|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1554
staphylopine biosynthesis|PWY-8007|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8007
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7968|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7968
1-(sn-glycero-3-phospho)-1D-myo-inositol biosynthesis|PWY-8430|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8430
heptadecane biosynthesis|PWY-6622|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6622
diphenyl ethers degradation|PWY-7747|||0.29333335|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7747
bis(guanylyl molybdopterin) cofactor sulfurylation|PWY-8164|||0.29333335|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8164
nylon-6 oligomer degradation|P621-PWY|||0.29333335|0.5714286|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P621-PWY
adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7964|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7964
peptidoglycan recycling I|PWY0-1261|Anhydromuropeptide Recycling|Anhydromuropeptides-Recycling|0.30064517|0.71428573|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1261
N-acetylglucosamine degradation I|GLUAMCAT-PWY|N-acetylglucosamine degradation|N-Acetylglucosamine-Degradation|0.30224258|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUAMCAT-PWY
autoinducer AI-2 biosynthesis I|PWY-6153|||0.3063079|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6153
dipyrromethane cofactor biosynthesis|PWY-8159|||0.31735414|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8159
type I lipoteichoic acid biosynthesis (S. aureus)|PWY-7817|||0.32287586|0.7058824|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7817
glucose and glucose-1-phosphate degradation|GLUCOSE1PMETAB-PWY|||0.33275807|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCOSE1PMETAB-PWY
sulfate activation for sulfonation|PWY-5340|||0.33726066|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5340
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)|PWY0-823|L-arginine Degradation|ARGININE-DEG|0.33726066|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-823
CMP-pseudaminate biosynthesis|PWY-6143|||0.34042057|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6143
arsenic detoxification VI|PWY-4621-1|Arsenate Detoxification|Arsenate-Detoxification|0.34296212|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4621-1
guanine and guanosine salvage I|PWY-6620|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|0.34296212|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6620
carbon disulfide oxidation I (anaerobic)|PWY-1164|Carbon Disulfide Degradation|Carbon-disulfide-degradation|0.34296212|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1164
3-(4-hydroxyphenyl)pyruvate biosynthesis|PWY-5886|||0.34679842|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5886
glutarate degradation|PWY1G01-4|||0.34906945|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY1G01-4
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde|PWY-5651|L-tryptophan Degradation|TRYPTOPHAN-DEG|0.3534017|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5651
3-hydroxy-4-methyl-anthranilate biosynthesis II|PWY-7765|3-hydroxy-4-methyl-anthranilate biosynthesis|3-OH-4-Methyl-Anthranilate-Biosynthesis|0.35340172|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7765
1,2-dichloroethane degradation|12DICHLORETHDEG-PWY|||0.3575|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=12DICHLORETHDEG-PWY
geranylgeranyl diphosphate biosynthesis|PWY-5120|||0.3588657|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5120
coenzyme A biosynthesis I (bacteria)|COA-PWY|Coenzyme A Biosynthesis|CoA-Biosynthesis|0.36080992|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=COA-PWY
ppGpp metabolism|PPGPPMET-PWY|||0.36385646|1.1666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PPGPPMET-PWY
UDP-alpha-D-glucose biosynthesis|PWY-7343|||0.36540583|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7343
L-isoleucine degradation I|ILEUDEG-PWY|L-isoleucine Degradation|ISOLEUCINE-DEG|0.3762921|1.1666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUDEG-PWY
L-glutamate biosynthesis I|GLUTSYN-PWY|L-glutamate Biosynthesis|GLUTAMATE-SYN|0.37993234|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTSYN-PWY
teichuronic acid biosynthesis (B. subtilis 168)|PWY-7820|||0.38404495|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7820
pyrimidine deoxyribonucleotides dephosphorylation|PWY-7206|||0.38750777|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7206
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.39096656|0.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
UDP-alpha-D-galactose biosynthesis|PWY-7344|||0.39417803|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7344
trans, trans-farnesyl diphosphate biosynthesis|PWY-5123|All-Trans-Farnesyl-PP-Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis|0.39534605|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5123
L-threonine degradation I|PWY-5437|L-threonine Degradation|THREONINE-DEG|0.39641556|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5437
sulfolactate degradation III|PWY-6638|Sulfolactate Degradation|Sulfolactate-Degradation|0.40065396|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6638
monocistronic tRNA processing II|PWY-8470|||0.40065396|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8470
thiamine diphosphate salvage V|PWY-8457|||0.40065396|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8457
glutaminyl-tRNAgln biosynthesis via transamidation|PWY-5921|||0.40137407|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5921
L-citrulline biosynthesis|CITRULBIO-PWY|||0.4100151|1.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULBIO-PWY
